,numberOfEpisodes,Finalization,originalTitle,startYear,endYear,runtimeMinutes,averageRating,numVotes,GenderMale,GenderFeMale,genre_action,genre_adult,genre_adventure,genre_animation,genre_biography,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_family,genre_fantasy,genre_history,genre_horror,genre_musical,genre_mystery,genre_news,genre_romance,genre_sci-fi,genre_talk-show,genre_thriller,genre_war,genre_western,numberEpisodePrediction
23,13,0,Nightingales,0.0,0,0.20895522388059698,0.8045977011494251,0.00014142567556950025,1.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.0
24,14,0,Normal Life,0.0,0,0.28358208955223885,0.6091954022988505,8.979407972666683e-06,0.4,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0
25,7,0,Not with a Bang,0.0,0,0.28358208955223885,0.6091954022988505,1.2720827961277801e-05,0.6000000000000001,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0
26,12,0,Chillers,0.0,0,0.5820895522388059,0.6436781609195401,3.142792790433339e-05,0.6000000000000001,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28.0
27,18,0,Perfect Scoundrels,0.0,0,0.7313432835820896,0.632183908045977,1.7958815945333366e-05,0.8,0.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0
28,20,0,Shades of LA,0.0,0,0.7313432835820896,0.7586206896551724,8.23112397494446e-06,0.4,0.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0
29,7,0,Sugar and Spice,0.0,0,0.28358208955223885,0.528735632183908,5.2379879840555655e-06,0.0,0.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0
30,48,0,Super Force,0.0,0,0.28358208955223885,0.7126436781609196,0.00021400922334855594,0.6000000000000001,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.0
31,13,0,Sydney,0.0,0,0.28358208955223885,0.7586206896551724,2.6189939920277822e-05,0.6000000000000001,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0
32,13,0,TECX,0.0,0,0.5820895522388059,0.6666666666666666,1.047597596811113e-05,0.4,0.6000000000000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0
33,20,0,They Came from Outer Space,0.0,0,0.7313432835820896,0.632183908045977,9.652863570616685e-05,0.8,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.0
34,12,0,Working Girl,0.0,0,0.28358208955223885,0.6551724137931034,7.25835477790557e-05,0.4,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0
35,13,0,Working It Out,0.0,0,0.28358208955223885,0.793103448275862,2.244851993166671e-06,0.4,0.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0
36,13,0,Yellowthread Street,0.0,0,0.6119402985074627,0.8160919540229885,2.9183075911166718e-05,0.8,0.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.0
